User_Name,Openness,Conscientiousness,Extraversion,Agreeableness,Emotional range,Class
iamsrk,0.661776505,0.639484473,0.89309668,0.8695601000000001,0.5214448660000001,A
imVkohli,0.659520206,0.8940947309999999,0.06658068,0.209753196,0.128992877,D
iHrithik,0.930559569,0.664317468,0.10598078400000001,0.743218941,0.567016279,D
aamir_khan,0.7770366559999999,0.49421524299999997,0.009136601,0.791666812,0.991120618,D
sachin_rt,0.774638785,0.8116373170000001,0.60667862,0.76777074,0.552905766,A
narendramodi,0.22016413399999998,0.8210739220000001,0.593153634,0.343960461,0.9312907290000001,D
BarackObama,0.8142808440000001,0.891417888,0.550104625,0.652230105,0.585213371,D
SrBachchan,0.970448933,0.6621720170000001,0.110281553,0.18759335600000002,0.231916223,D
BeingSalmanKhan,0.21307277300000002,0.21322896600000002,0.096015356,0.392826115,0.144088385,D
deepikapadukone,0.7634395420000001,0.762191148,0.703108397,0.934965313,0.919887575,A
priyankachopra,0.816986531,0.7465745770000001,0.9375686129999999,0.694203819,0.90216813,A
akshaykumar,0.354274121,0.9118310159999999,0.373648537,0.86967558,0.38800293,D
PMOIndia,0.301409754,0.294274294,0.5569078820000001,0.278900873,0.942264555,D
karanjohar,0.7588485359999999,0.42787754899999997,0.25416445,0.105516656,0.9754103009999999,D
aliaa08,0.80505812,0.7498008209999999,0.173476766,0.78328823,0.46636893799999996,D
chetan_bhagat,0.567195663,0.735677244,0.50914573,0.621651929,0.356812576,D
timesofindia,0.343512961,0.67535521,0.037589101,0.14261624,0.9990970920000001,D
ladygaga,0.8655469020000001,0.413870498,0.36148336200000003,0.063977617,0.19368344699999998,D
TheEllenShow,0.974692839,0.814853426,0.8960035479999999,0.713513324,0.739491694,A
realDonaldTrump,0.896642342,0.861784659,0.600503685,0.6368301989999999,0.40798369799999995,A
KimKardashian,0.9892648540000001,0.6058051720000001,0.584995724,0.410968699,0.8902765290000001,D
selenagomez,0.442996151,0.833506305,0.665370064,0.733044974,0.9926585520000001,A
jimmyfallon,0.360246797,0.912876397,0.8815948709999999,0.840958586,0.07194919,A
shakira,0.130072308,0.269593342,0.39084776,0.243408298,0.977405964,D
cnnbrk,0.974736644,0.9832884940000001,0.945899278,0.562095197,0.0007587119999999999,C
Cristiano,0.007895801,0.563963256,0.5693415629999999,0.23050146,0.990174852,D
rihanna,0.946835795,0.958413565,0.44883181200000005,0.458658319,0.270971347,D
katyperry,0.597122492,0.9568238170000001,0.761776468,0.25471409300000003,0.33074967899999996,C
nytimes,0.897353029,0.7715455440000001,0.38262842399999997,0.265027739,0.321654134,D
JLo,0.74299058,0.570351278,0.898808215,0.39088991100000003,0.22207353300000002,D
CNN,0.825202722,0.5257914229999999,0.603307878,0.090159061,0.032698195,D
Oprah,0.884994385,0.9792333990000001,0.8040081259999999,0.5750703,0.288653194,C
KevinHart4real,0.41764624,0.94506035,0.707505158,0.140760756,0.884473237,C
wizkhalifa,0.46941134100000004,0.23262078100000003,0.35932381799999996,0.016260063999999998,0.605273225,D
KylieJenner,0.9032791729999999,0.8895397429999999,0.525120838,0.843346003,0.045653507,D
NBA,0.624467597,0.598753987,0.267842274,0.17926721899999998,0.06858307,D
elonmusk,0.747510448,0.250047979,0.01428375,0.017958096,0.5212375929999999,D
KourtneyKardash,0.5954649129999999,0.927301975,0.922492523,0.7171143759999999,0.562422076,A
priyankachopra,0.816986531,0.7465745770000001,0.9375686129999999,0.694203819,0.90216813,A
NFL,0.23718362,0.356083317,0.37342026,0.22843023,0.227026256,D
HilliaryClinton,0.791300205,0.400308258,0.35875640299999995,0.249548148,0.577227305,D
thekiranbedi,0.9882635009999999,0.634446921,0.122901499,0.138686289,0.227786607,D
KapilSharmaK9,0.018025601999999998,0.792354098,0.319922512,0.8699218679999999,0.255335374,D
TheVijayMallya,0.771110955,0.663264164,0.5929334070000001,0.500278726,0.16499483199999998,D
msdhoni,0.156981378,0.29713365199999997,0.011779316000000001,0.119525036,0.608865961,D
